date,code,name,volume,open,high,low,close,source_asset,cumulative_factor,adj_open,adj_high,adj_low,adj_close,adj_qa
20180621,4916,事欣科,354376,37.05,37.75,37.05,37.50,yearly_2018.zip,0.7799610309,28.897556,29.443529,28.897556,29.248539,OK
20180622,4916,事欣科,579900,37.50,38.00,37.10,37.75,yearly_2018.zip,0.7799610309,29.248539,29.638519,28.936554,29.443529,OK
20180625,4916,事欣科,638501,37.80,37.80,36.60,36.70,yearly_2018.zip,0.7799610309,29.482527,29.482527,28.546574,28.624570,OK
20180626,4916,事欣科,1088802,36.80,37.10,35.75,35.90,yearly_2018.zip,0.7799610309,28.702566,28.936554,27.883607,28.000601,OK
20180627,4916,事欣科,472041,36.10,36.55,35.90,36.00,yearly_2018.zip,0.7799610309,28.156593,28.507576,28.000601,28.078597,OK
20180628,4916,事欣科,478700,36.40,36.40,35.50,35.70,yearly_2018.zip,0.7799610309,28.390582,28.390582,27.688617,27.844609,OK
20180629,4916,事欣科,390450,36.10,36.45,35.80,36.45,yearly_2018.zip,0.7799610309,28.156593,28.429580,27.922605,28.429580,OK
20180702,4916,事欣科,250553,36.90,36.90,36.30,36.35,yearly_2018.zip,0.7799610309,28.780562,28.780562,28.312585,28.351583,OK
20180703,4916,事欣科,567200,36.80,36.80,35.30,35.40,yearly_2018.zip,0.7799610309,28.702566,28.702566,27.532624,27.610620,OK
20180704,4916,事欣科,492001,35.40,35.80,34.80,35.00,yearly_2018.zip,0.7799610309,27.610620,27.922605,27.142644,27.298636,OK
20180705,4916,事欣科,497001,35.20,35.30,33.85,34.05,yearly_2018.zip,0.7799610309,27.454628,27.532624,26.401681,26.557673,OK
20180706,4916,事欣科,542202,34.05,34.75,33.40,34.60,yearly_2018.zip,0.7799610309,26.557673,27.103646,26.050698,26.986652,OK
20180709,4916,事欣科,278031,34.70,34.90,34.35,34.60,yearly_2018.zip,0.7799610309,27.064648,27.220640,26.791661,26.986652,OK
20180710,4916,事欣科,243101,34.75,35.45,34.75,35.45,yearly_2018.zip,0.7799610309,27.103646,27.649619,27.103646,27.649619,OK
20180711,4916,事欣科,434001,35.95,35.95,35.60,35.60,yearly_2018.zip,0.7799610309,28.039599,28.039599,27.766613,27.766613,OK
20180712,4916,事欣科,513464,35.70,36.50,35.70,36.05,yearly_2018.zip,0.7799610309,27.844609,28.468578,27.844609,28.117595,OK
20180713,4916,事欣科,239303,36.30,36.55,36.10,36.10,yearly_2018.zip,0.7799610309,28.312585,28.507576,28.156593,28.156593,OK
20180716,4916,事欣科,267101,36.75,36.75,35.85,36.00,yearly_2018.zip,0.7799610309,28.663568,28.663568,27.961603,28.078597,OK
20180717,4916,事欣科,286105,36.35,36.35,35.30,35.40,yearly_2018.zip,0.7799610309,28.351583,28.351583,27.532624,27.610620,OK
20180718,4916,事欣科,290401,35.40,35.65,34.80,35.00,yearly_2018.zip,0.7799610309,27.610620,27.805611,27.142644,27.298636,OK
20180719,4916,事欣科,129427,35.00,35.30,34.90,35.00,yearly_2018.zip,0.7799610309,27.298636,27.532624,27.220640,27.298636,OK
20180720,4916,事欣科,193900,35.10,35.10,34.70,34.70,yearly_2018.zip,0.7799610309,27.376632,27.376632,27.064648,27.064648,OK
20180723,4916,事欣科,290200,34.95,35.10,34.15,34.20,yearly_2018.zip,0.7799610309,27.259638,27.376632,26.635669,26.674667,OK
20180724,4916,事欣科,321300,34.25,35.25,34.20,35.10,yearly_2018.zip,0.7799610309,26.713665,27.493626,26.674667,27.376632,OK
20180725,4916,事欣科,181200,35.00,35.10,34.75,34.90,yearly_2018.zip,0.7799610309,27.298636,27.376632,27.103646,27.220640,OK
20180726,4916,事欣科,189715,35.20,35.20,34.75,34.85,yearly_2018.zip,0.7799610309,27.454628,27.454628,27.103646,27.181642,OK
20180727,4916,事欣科,133830,34.90,35.15,34.85,35.15,yearly_2018.zip,0.7799610309,27.220640,27.415630,27.181642,27.415630,OK
20180730,4916,事欣科,206700,35.25,35.30,34.60,35.00,yearly_2018.zip,0.7799610309,27.493626,27.532624,26.986652,27.298636,OK
20180731,4916,事欣科,134220,35.00,35.40,34.65,35.00,yearly_2018.zip,0.7799610309,27.298636,27.610620,27.025650,27.298636,OK
20180801,4916,事欣科,156500,35.05,35.30,34.90,34.90,yearly_2018.zip,0.7799610309,27.337634,27.532624,27.220640,27.220640,OK
20180802,4916,事欣科,167600,34.90,35.10,34.60,34.60,yearly_2018.zip,0.7799610309,27.220640,27.376632,26.986652,26.986652,OK
20180803,4916,事欣科,255002,34.70,35.50,34.45,34.60,yearly_2018.zip,0.7799610309,27.064648,27.688617,26.869658,26.986652,OK
20180806,4916,事欣科,257904,34.60,35.30,34.55,35.20,yearly_2018.zip,0.7799610309,26.986652,27.532624,26.947654,27.454628,OK
20180807,4916,事欣科,474484,35.35,36.10,35.25,35.60,yearly_2018.zip,0.7799610309,27.571622,28.156593,27.493626,27.766613,OK
20180808,4916,事欣科,267300,35.75,35.85,35.50,35.70,yearly_2018.zip,0.7799610309,27.883607,27.961603,27.688617,27.844609,OK
20180809,4916,事欣科,319508,35.50,35.90,35.10,35.25,yearly_2018.zip,0.7799610309,27.688617,28.000601,27.376632,27.493626,OK
20180810,4916,事欣科,180700,35.25,35.35,35.10,35.10,yearly_2018.zip,0.7799610309,27.493626,27.571622,27.376632,27.376632,OK
20180813,4916,事欣科,482700,35.00,35.00,33.50,34.00,yearly_2018.zip,0.7799610309,27.298636,27.298636,26.128695,26.518675,OK
20180814,4916,事欣科,491103,34.05,35.00,34.05,34.90,yearly_2018.zip,0.7799610309,26.557673,27.298636,26.557673,27.220640,OK
